profile_id,tender_id,עובר_אזור,עובר_זכאות,עובר_חסר_דיור,score_סופי
P001,m1,0.0,1.0,0.0,0.0
P001,m2,0.0,1.0,0.0,0.0
P001,m3,0.0,0.0,0.0,0.0
P001,m4,0.0,1.0,0.0,0.0
P001,m5,0.0,1.0,0.0,0.0
P001,m6,0.0,1.0,0.0,0.0
P001,m7,0.0,1.0,0.0,0.0
P001,m8,0.0,1.0,0.0,0.0
P001,m9,0.0,1.0,0.0,0.0
P001,m10,0.0,1.0,0.0,0.0
P001,m11,0.0,1.0,0.0,0.0
P001,m12,0.0,1.0,0.0,0.0
P001,m13,0.0,1.0,0.0,0.0
P001,m14,0.0,1.0,0.0,0.0
P001,m15,0.0,1.0,0.0,0.0
P001,m16,0.0,1.0,0.0,0.0
P001,m17,0.0,1.0,0.0,0.0
P001,m18,0.0,1.0,0.0,0.0
P001,m19,0.0,1.0,0.0,0.0
P001,m20,0.0,1.0,0.0,0.0
P001,m21,0.0,0.0,0.0,0.0
P001,m22,0.0,1.0,0.0,0.0
P001,m23,0.0,0.0,0.0,0.0
P001,m24,0.0,0.0,0.0,0.0
P001,m25,0.0,0.0,0.0,0.0
P001,m26,0.0,0.0,0.0,0.0
P001,m27,0.0,0.0,0.0,0.0
P001,m28,0.0,1.0,0.0,0.0
P001,m29,0.0,1.0,0.0,0.0
P001,m30,0.0,1.0,0.0,0.0
P001,m31,0.0,1.0,0.0,0.0
P001,m32,0.0,0.0,0.0,0.0
P001,m33,0.0,0.0,0.0,0.0
P001,m34,0.0,0.0,0.0,0.0
P001,m35,0.0,0.0,0.0,0.0
P001,m36,0.0,0.0,0.0,0.0
P001,m37,0.0,0.0,0.0,0.0
P001,m38,0.0,0.0,0.0,0.0
P001,m39,0.0,0.0,0.0,0.0
P001,m40,0.0,0.0,0.0,0.0
P001,m41,0.0,0.0,0.0,0.0
P001,m42,0.0,0.0,0.0,0.0
P001,m43,0.0,0.0,0.0,0.0
P001,m44,0.0,0.0,0.0,0.0
P001,m45,0.0,0.0,0.0,0.0
P001,m46,0.0,0.0,0.0,0.0
P001,m47,0.0,0.0,0.0,0.0
P001,m48,0.0,1.0,0.0,0.0
P001,m49,0.0,1.0,0.0,0.0
P001,m50,0.0,1.0,0.0,0.0
P001,m51,0.0,1.0,0.0,0.0
P001,m52,0.0,1.0,0.0,0.0
P001,m53,0.0,1.0,0.0,0.0
P001,m54,0.0,1.0,0.0,0.0
P001,m55,0.0,1.0,0.0,0.0
P001,m56,1.0,0.0,0.0,0.0
P001,m57,0.0,1.0,0.0,0.0
P001,m58,0.0,0.0,1.0,0.0
P001,m59,0.0,0.0,0.0,0.0
P001,m60,0.0,1.0,0.0,0.0
P001,m61,0.0,1.0,0.0,0.0
P001,m62,0.0,0.0,0.0,0.0
P001,m63,0.0,1.0,1.0,0.0
P001,m64,0.0,1.0,1.0,0.0
P001,m65,0.0,1.0,1.0,0.0
P001,m66,0.0,1.0,1.0,0.0
P001,m67,0.0,1.0,1.0,0.0
P001,m68,0.0,1.0,0.0,0.0
P001,m69,0.0,1.0,0.0,0.0
P001,m70,1.0,1.0,0.0,0.0
P002,m1,0.0,1.0,1.0,0.0
P002,m2,0.0,1.0,1.0,0.0
P002,m3,0.0,0.0,1.0,0.0
P002,m4,0.0,1.0,1.0,0.0
P002,m5,0.0,1.0,1.0,0.0
P002,m6,0.0,1.0,1.0,0.0
P002,m7,0.0,1.0,1.0,0.0
P002,m8,0.0,1.0,1.0,0.0
P002,m9,0.0,1.0,1.0,0.0
P002,m10,0.0,1.0,1.0,0.0
P002,m11,0.0,1.0,1.0,0.0
P002,m12,0.0,1.0,1.0,0.0
P002,m13,0.0,1.0,1.0,0.0
P002,m14,0.0,1.0,1.0,0.0
P002,m15,0.0,1.0,1.0,0.0
P002,m16,0.0,1.0,1.0,0.0
P002,m17,0.0,1.0,1.0,0.0
P002,m18,0.0,1.0,1.0,0.0
P002,m19,0.0,1.0,1.0,0.0
P002,m20,0.0,1.0,1.0,0.0
P002,m21,1.0,0.0,1.0,0.0
P002,m22,1.0,1.0,1.0,1.0
P002,m23,1.0,0.0,1.0,0.0
P002,m24,1.0,0.0,1.0,0.0
P002,m25,1.0,0.0,1.0,0.0
P002,m26,1.0,0.0,1.0,0.0
P002,m27,1.0,0.0,1.0,0.0
